region,market,product,estate,estate_group,month,year,basis,systems
AMER,US,BS Flex,Managed,CMH (Managed),2023-12-01,2023,Year End,1.0
AMER,US,BS Flex,Managed,CMH (Managed),2024-12-01,2024,Year End,76.0
AMER,US,BS Flex,Managed,CMH (Managed),2025-12-01,2025,Year End,88.0
AMER,US,BS Flex,Managed,CMH (Managed),2026-01-01,2026,Monthly,88.0
AMER,US,BS Flex,Managed,CMH (Managed),2026-02-01,2026,Monthly,88.0
AMER,US,BS Flex,Managed,CMH (Managed),2026-03-01,2026,Monthly,88.0
AMER,US,BS Flex,Managed,CMH (Managed),2026-04-01,2026,Monthly,92.0
AMER,US,BS Flex,Managed,CMH (Managed),2026-05-01,2026,Monthly,97.0
AMER,US,BS Flex,Managed,CMH (Managed),2026-06-01,2026,Monthly,103.0
AMER,US,BS Flex,Managed,CMH (Managed),2026-07-01,2026,Monthly,109.0
AMER,US,BS Flex,Managed,CMH (Managed),2026-08-01,2026,Monthly,115.0
AMER,US,BS Flex,Managed,CMH (Managed),2026-09-01,2026,Monthly,122.0
AMER,US,BS Flex,Managed,CMH (Managed),2026-10-01,2026,Monthly,128.0
AMER,US,BS Flex,Managed,CMH (Managed),2026-11-01,2026,Monthly,128.0
AMER,US,BS Flex,Managed,CMH (Managed),2026-12-01,2026,Monthly,128.0
AMER,US,BS Nexus,Franchised,Franchise,2023-12-01,2023,Year End,0.0
AMER,US,BS Nexus,Franchised,Franchise,2024-12-01,2024,Year End,0.0
AMER,US,BS Nexus,Franchised,Franchise,2025-12-01,2025,Year End,56.0
AMER,US,BS Nexus,Franchised,Franchise,2026-01-01,2026,Monthly,56.0
AMER,US,BS Nexus,Franchised,Franchise,2026-02-01,2026,Monthly,226.0
AMER,US,BS Nexus,Franchised,Franchise,2026-03-01,2026,Monthly,280.0
AMER,US,BS Nexus,Franchised,Franchise,2026-04-01,2026,Monthly,318.0
AMER,US,BS Nexus,Franchised,Franchise,2026-05-01,2026,Monthly,318.0
AMER,US,BS Nexus,Franchised,Franchise,2026-06-01,2026,Monthly,318.0
AMER,US,BS Nexus,Franchised,Franchise,2026-07-01,2026,Monthly,318.0
AMER,US,BS Nexus,Franchised,Franchise,2026-08-01,2026,Monthly,318.0
AMER,US,BS Nexus,Franchised,Franchise,2026-09-01,2026,Monthly,318.0
AMER,US,BS Nexus,Franchised,Franchise,2026-10-01,2026,Monthly,318.0
AMER,US,BS Nexus,Franchised,Franchise,2026-11-01,2026,Monthly,318.0
AMER,US,BS Nexus,Franchised,Franchise,2026-12-01,2026,Monthly,318.0
AMER,Canada,TBC,Managed,CMH (Managed),2023-12-01,2023,Year End,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2024-12-01,2024,Year End,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2025-12-01,2025,Year End,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2026-01-01,2026,Monthly,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2026-02-01,2026,Monthly,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2026-03-01,2026,Monthly,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2026-04-01,2026,Monthly,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2026-05-01,2026,Monthly,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2026-06-01,2026,Monthly,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2026-07-01,2026,Monthly,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2026-08-01,2026,Monthly,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2026-09-01,2026,Monthly,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2026-10-01,2026,Monthly,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2026-11-01,2026,Monthly,0.0
AMER,Canada,TBC,Managed,CMH (Managed),2026-12-01,2026,Monthly,0.0
AMER,Canada,TBC,Franchised,Franchise,2023-12-01,2023,Year End,0.0
AMER,Canada,TBC,Franchised,Franchise,2024-12-01,2024,Year End,0.0
AMER,Canada,TBC,Franchised,Franchise,2025-12-01,2025,Year End,0.0
AMER,Canada,TBC,Franchised,Franchise,2026-01-01,2026,Monthly,0.0
AMER,Canada,TBC,Franchised,Franchise,2026-02-01,2026,Monthly,0.0
AMER,Canada,TBC,Franchised,Franchise,2026-03-01,2026,Monthly,0.0
AMER,Canada,TBC,Franchised,Franchise,2026-04-01,2026,Monthly,0.0
AMER,Canada,TBC,Franchised,Franchise,2026-05-01,2026,Monthly,0.0
AMER,Canada,TBC,Franchised,Franchise,2026-06-01,2026,Monthly,0.0
AMER,Canada,TBC,Franchised,Franchise,2026-07-01,2026,Monthly,0.0
AMER,Canada,TBC,Franchised,Franchise,2026-08-01,2026,Monthly,0.0
AMER,Canada,TBC,Franchised,Franchise,2026-09-01,2026,Monthly,0.0
AMER,Canada,TBC,Franchised,Franchise,2026-10-01,2026,Monthly,0.0
AMER,Canada,TBC,Franchised,Franchise,2026-11-01,2026,Monthly,0.0
AMER,Canada,TBC,Franchised,Franchise,2026-12-01,2026,Monthly,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2023-12-01,2023,Year End,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2024-12-01,2024,Year End,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2025-12-01,2025,Year End,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2026-01-01,2026,Monthly,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2026-02-01,2026,Monthly,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2026-03-01,2026,Monthly,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2026-04-01,2026,Monthly,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2026-05-01,2026,Monthly,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2026-06-01,2026,Monthly,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2026-07-01,2026,Monthly,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2026-08-01,2026,Monthly,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2026-09-01,2026,Monthly,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2026-10-01,2026,Monthly,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2026-11-01,2026,Monthly,0.0
AMER,MLAC,TBC,Managed,CMH (Managed),2026-12-01,2026,Monthly,0.0
AMER,MLAC,TBC,Franchised,Franchise,2023-12-01,2023,Year End,0.0
AMER,MLAC,TBC,Franchised,Franchise,2024-12-01,2024,Year End,0.0
AMER,MLAC,TBC,Franchised,Franchise,2025-12-01,2025,Year End,0.0
AMER,MLAC,TBC,Franchised,Franchise,2026-01-01,2026,Monthly,0.0
AMER,MLAC,TBC,Franchised,Franchise,2026-02-01,2026,Monthly,0.0
AMER,MLAC,TBC,Franchised,Franchise,2026-03-01,2026,Monthly,0.0
AMER,MLAC,TBC,Franchised,Franchise,2026-04-01,2026,Monthly,0.0
AMER,MLAC,TBC,Franchised,Franchise,2026-05-01,2026,Monthly,0.0
AMER,MLAC,TBC,Franchised,Franchise,2026-06-01,2026,Monthly,0.0
AMER,MLAC,TBC,Franchised,Franchise,2026-07-01,2026,Monthly,0.0
AMER,MLAC,TBC,Franchised,Franchise,2026-08-01,2026,Monthly,0.0
AMER,MLAC,TBC,Franchised,Franchise,2026-09-01,2026,Monthly,0.0
AMER,MLAC,TBC,Franchised,Franchise,2026-10-01,2026,Monthly,0.0
AMER,MLAC,TBC,Franchised,Franchise,2026-11-01,2026,Monthly,0.0
AMER,MLAC,TBC,Franchised,Franchise,2026-12-01,2026,Monthly,0.0
EMEAA,UK,ProcureWizard,Managed,CMH (Managed),2023-12-01,2023,Year End,10.0
EMEAA,UK,ProcureWizard,Managed,CMH (Managed),2024-12-01,2024,Year End,10.0
EMEAA,UK,ProcureWizard,Managed,CMH (Managed),2025-12-01,2025,Year End,10.0
EMEAA,UK,ProcureWizard,Managed,CMH (Managed),2026-01-01,2026,Monthly,10.0
EMEAA,UK,ProcureWizard,Managed,CMH (Managed),2026-02-01,2026,Monthly,10.0
EMEAA,UK,ProcureWizard,Managed,CMH (Managed),2026-03-01,2026,Monthly,11.0
EMEAA,UK,ProcureWizard,Managed,CMH (Managed),2026-04-01,2026,Monthly,11.0
EMEAA,UK,ProcureWizard,Managed,CMH (Managed),2026-05-01,2026,Monthly,11.0
EMEAA,UK,ProcureWizard,Managed,CMH (Managed),2026-06-01,2026,Monthly,11.0
EMEAA,UK,ProcureWizard,Managed,CMH (Managed),2026-07-01,2026,Monthly,11.0
