reporting_region,region,lifecycle_stage,ihg_flag,addressable_spend,hotels,is_directly_addressable
AMER,AMER,BUILD,IHG,8957065755.979975,4585,false
AMER,AMER,BUILD,Non-IHG,64705111772.41272,29433,false
AMER,AMER,IT/TELECOM,IHG,980430385.9499422,4585,true
AMER,AMER,IT/TELECOM,Non-IHG,7047752305.291958,29433,true
AMER,AMER,OPEN,IHG,4534431706.009988,4585,true
AMER,AMER,OPEN,Non-IHG,29807307414.59439,29433,true
AMER,AMER,OPERATE,IHG,4426602178.959908,4585,true
AMER,AMER,OPERATE,Non-IHG,32601159260.14714,29433,true
EAPAC,EMEAA,BUILD,IHG,409431338.7899997,294,false
EAPAC,EMEAA,BUILD,Non-IHG,2827536601.7200084,2063,false
EAPAC,EMEAA,IT/TELECOM,IHG,49194943.92999994,294,true
EAPAC,EMEAA,IT/TELECOM,Non-IHG,314546329.21999985,2063,true
EAPAC,EMEAA,OPEN,IHG,200857175.99000028,294,true
EAPAC,EMEAA,OPEN,Non-IHG,1294305150.3600042,2063,true
EAPAC,EMEAA,OPERATE,IHG,321619450.4999999,294,true
EAPAC,EMEAA,OPERATE,Non-IHG,2121183902.7500038,2063,true
EUR,EMEAA,BUILD,IHG,1689814904.8900003,910,false
EUR,EMEAA,BUILD,Non-IHG,10451267374.689938,6099,false
EUR,EMEAA,IT/TELECOM,IHG,131236891.41000067,910,true
EUR,EMEAA,IT/TELECOM,Non-IHG,665707296.3400108,6099,true
EUR,EMEAA,OPEN,IHG,619073927.1799974,910,true
EUR,EMEAA,OPEN,Non-IHG,4519119702.94993,6099,true
EUR,EMEAA,OPERATE,IHG,697176668.2600024,910,true
EUR,EMEAA,OPERATE,Non-IHG,4109099625.290354,6099,true
GC,GR CHINA,BUILD,IHG,2117412457.1599853,917,false
GC,GR CHINA,BUILD,Non-IHG,26544701676.22178,11098,false
GC,GR CHINA,IT/TELECOM,IHG,221632611.6800011,917,true
GC,GR CHINA,IT/TELECOM,Non-IHG,2697794683.6298127,11098,true
GC,GR CHINA,OPEN,IHG,1058665647.6299946,917,true
GC,GR CHINA,OPEN,Non-IHG,13182230214.98135,11098,true
GC,GR CHINA,OPERATE,IHG,1154082656.9699993,917,true
GC,GR CHINA,OPERATE,Non-IHG,14559933456.35039,11098,true
IMEA,EMEAA,BUILD,IHG,508027712.98,286,false
IMEA,EMEAA,BUILD,Non-IHG,3528309061.7800183,1953,false
IMEA,EMEAA,IT/TELECOM,IHG,80436503.94000003,286,true
IMEA,EMEAA,IT/TELECOM,Non-IHG,645684964.6399968,1953,true
IMEA,EMEAA,OPEN,IHG,310004625.28999984,286,true
IMEA,EMEAA,OPEN,Non-IHG,2474004474.51,1953,true
IMEA,EMEAA,OPERATE,IHG,446687855.5499983,286,true
IMEA,EMEAA,OPERATE,Non-IHG,3351000640.2700076,1953,true
