programme,row_type,metric,period,value
Supplier Code of Conduct,,% New Corp Suppliers Signed,2025 EoY,1.0
Supplier Code of Conduct,,% New Corp Suppliers Signed,2026-01-01,1.0
Sedex Assessment,Forecast,Forecast Total Targeted Suppliers (pre-screen requests),2025 EoY,415.0
Sedex Assessment,Forecast,Forecast Total Targeted Suppliers (pre-screen requests),2026-01-01,426.75
Sedex Assessment,Forecast,Forecast Total Targeted Suppliers (pre-screen requests),2026-02-01,438.5
Sedex Assessment,Forecast,Forecast Total Targeted Suppliers (pre-screen requests),2026-03-01,450.25
Sedex Assessment,Forecast,Forecast Total Targeted Suppliers (pre-screen requests),2026-04-01,462.0
Sedex Assessment,Forecast,Forecast Total Targeted Suppliers (pre-screen requests),2026-05-01,473.75
Sedex Assessment,Forecast,Forecast Total Targeted Suppliers (pre-screen requests),2026-06-01,485.5
Sedex Assessment,Forecast,Forecast Total Targeted Suppliers (pre-screen requests),2026-07-01,497.25
Sedex Assessment,Forecast,Forecast Total Targeted Suppliers (pre-screen requests),2026-08-01,509.0
Sedex Assessment,Forecast,Forecast Total Targeted Suppliers (pre-screen requests),2026-09-01,520.75
Sedex Assessment,Forecast,Forecast Total Targeted Suppliers (pre-screen requests),2026-10-01,532.5
Sedex Assessment,Forecast,Forecast Total Targeted Suppliers (pre-screen requests),2026-11-01,544.25
Sedex Assessment,Forecast,Forecast Total Targeted Suppliers (pre-screen requests),2026-12-01,556.0
Sedex Assessment,Target,Pre-Screen Completed - Ambition,2025 EoY,356.0
Sedex Assessment,Target,Pre-Screen Completed - Ambition,2026-01-01,363.4
Sedex Assessment,Target,Pre-Screen Completed - Ambition,2026-02-01,370.79999999999995
Sedex Assessment,Target,Pre-Screen Completed - Ambition,2026-03-01,378.19999999999993
Sedex Assessment,Target,Pre-Screen Completed - Ambition,2026-04-01,385.5999999999999
Sedex Assessment,Target,Pre-Screen Completed - Ambition,2026-05-01,392.9999999999999
Sedex Assessment,Target,Pre-Screen Completed - Ambition,2026-06-01,400.39999999999986
Sedex Assessment,Target,Pre-Screen Completed - Ambition,2026-07-01,407.79999999999984
Sedex Assessment,Target,Pre-Screen Completed - Ambition,2026-08-01,415.1999999999998
Sedex Assessment,Target,Pre-Screen Completed - Ambition,2026-09-01,422.5999999999998
Sedex Assessment,Target,Pre-Screen Completed - Ambition,2026-10-01,429.9999999999998
Sedex Assessment,Target,Pre-Screen Completed - Ambition,2026-11-01,437.39999999999975
Sedex Assessment,Target,Pre-Screen Completed - Ambition,2026-12-01,444.8
Sedex Assessment,Target,Audit Completion Rate,2025 EoY,1.0
